@timestamp,integration_latency
2025-12-04 14:28:48.605,2463
2025-12-04 14:28:48.418,2127
2025-12-04 14:28:03.860,5738
2025-12-04 14:28:02.456,1439
2025-12-04 14:28:02.223,4636
2025-12-04 14:28:00.813,1245
2025-12-04 14:27:23.767,1730
2025-12-04 14:27:10.219,10108
2025-12-04 14:27:07.206,10297
2025-12-04 14:26:33.514,2024
2025-12-04 14:26:32.492,1943
2025-12-04 14:26:19.106,2441
2025-12-04 14:26:17.155,2520
2025-12-04 14:25:54.095,3421
2025-12-04 14:25:52.671,2579
2025-12-04 14:25:51.687,6083
2025-12-04 14:25:51.324,5502
2025-12-04 14:25:39.364,2773
2025-12-04 14:25:37.874,2139
2025-12-04 14:25:15.111,2761
2025-12-04 14:25:13.402,2446
2025-12-04 14:24:20.759,6377
